asin,title,imUrl,description,categories,brand
0594012015,Barnes &amp; Noble NOOK Power Kit in Carbon BNADPN31,http://ecx.images-amazon.com/images/I/41kQsHT8UtL._SY300_.jpg,"The Barnes &amp;amp; Noble BNADPN31 Power Kit in Carbon for Nook 1st Edition and Nook Simple Touch e-Reader possesses a compact design, with a 2.5-inch x 4-inch x .60-inch frame so that you can bring this product anywhere. Providing a&amp;nbsp;5-feet micro USB charging cable, the charger offers connection with either a computer or an AC adapter. You can charge your NOOK Wi-Fi, 3G +Wi-Fi, and Simple Touch devices by using the charger in any wall outlet.","{Electronics,eBook Readers & Accessories,Power Adapters}",Barnes &amp; Noble
0594549507,Groovy Protective Stand Cover: Custom Designed for 7-inch NOOK HD: Vine Color,http://ecx.images-amazon.com/images/I/01eX9rjxUIL.jpg,"Slim, smart, and lightweight, this ingenious cover is the perfect choice for protecting your NOOK HD. The polyurethane exterior, accented by a subtle ""nook"" logo, is both strong and smooth to the touch; inside, a plastic shell in contrasting charcoal cradles your device while offering full access to the controls. But that's only part of the story. An articulation on the front cover allows you to fold it back and tuck the edge into the metallic clip on the back of the case. The result is a sturdy stand that gives you the option of using your NOOK hands-free in landscape orientation, in either video-viewing mode or typing mode. (The viewing mode offers a more vertical angle.) Proving that this is a smart cover in every sense, it also puts your NOOK HD into sleep mode when you close the front flap and wakes it up when the flap is opened. A laser-etched ""nook"" logo on the back-cover clip adds to the visual appeal of this superior product.","{Electronics,eBook Readers & Accessories,Covers}",Barnes &amp; Noble
0594481813,Barnes &amp; Noble OV/HB-ADP Universal Power Kit,http://ecx.images-amazon.com/images/I/41K7ymN5fzL._SY300_.jpg,Power up your device with this Barnes &amp; Noble OV/HB-ADP Universal Power Kit._x000D_ _x000D_ This Universal Power Kit is specifically designed for your Nook HD and Nook HD+. The kit comes in handy in case you need to replace an old AV adapter or just happen to need a back up. Its retractable prongs make it more convenient for your digital lifestyle. Buy this Barnes &amp; Noble OV/HB-ADP Universal Power Kit now!,"{Electronics,eBook Readers & Accessories,Power Adapters}",Barnes &amp; Noble
0594033934,Barnes &amp; Noble B505360439 Wren Quote Cover,http://ecx.images-amazon.com/images/I/31Vl-YJ5kbL._SY300_.jpg,"The Barnes &amp;amp; Noble B505360439 Wren Quote Cover for Nook Color and Nook Tablet is made from Italian synthetic leather exterior finish with a great quotation coming from the renowned British architect Sir Christopher Wren, which is &amp;ldquo;Choose an author as you choose a friend&amp;rdquo;. This classy cover for your Nook devices also features its faux suede lining, an interior slide pocket, along with dual card slots. Also, it has a convenient rail system that safeguards your device with ease. Grab this essential accessory for your Nook Color and Tablet&amp;rsquo;s protection and for an inspired you today.","{Electronics,Computers & Accessories,PDAs, Handhelds & Accessories,PDA & Handheld Accessories}",Barnes &amp; Noble
059400232X,Barnes &amp; Noble B211-4023 Johnson Quote Cover,http://ecx.images-amazon.com/images/I/31zdIqAs4JL._SY300_.jpg,"The Barnes &amp;amp; Noble B211-4023 Johnson Quote Cover is a cool cover for your Nook Devices as it comes with a wonderful quote coming from Samuel Johnson &amp;ldquo;A writer only begins a book. A reader finishes it."" It is built from tough Italian synthetic leather plus a suede lining for the interior, offering you unmatched protection for your device. Its interior also features slide pocket and dual card pockets, making you store your other things as you carry around this cover. Also, its rail system guarantees that you maintain your Nook devices in place and protected.","{Electronics,Computers & Accessories,PDAs, Handhelds & Accessories,PDA & Handheld Accessories}",Barnes &amp; Noble
0594296420,Barnes &amp; Noble NOOK Simple Touch Wall Adapter BNRP58501,http://ecx.images-amazon.com/images/I/41WwbxmshWL._SY300_.jpg,"If you prefer to charge your NOOK Simple Touch directly from the wall rather than your computer, this compact kit is the ideal accessory. The compact adapter, accented by an embossed ""nook"" logo, mates securely with the wall outlet, and the five-foot USB cable that comes with Your NOOK Simple Touch allows you ample leeway in positioning your device.Features:","{Electronics,Computers & Accessories,Laptop & Netbook Computer Accessories,Docking Stations}",Barnes &amp; Noble
0594033926,Barnes &amp; Noble Dessin Leather Cover for Nook Color &amp; Nook Tablet Digital Reader  - Noir,http://ecx.images-amazon.com/images/I/31VZYUGEFzL.jpg,"The Dessin Cover in Noir for Nook Tablet helps you protect your e-reader with style. Able to fit both the standard Nook Color and the Nook Tablet, this Dessin Cover in Noir Cover For Nook Tablet has a glazed leather exterior and faux suede lining to provide soft and durable protection. A leather slide pocket inside the Nook Color Cover keeps your e-reader in place. These Nook Color Tablet Covers let you keep your Nook safe as you read it or as you carry it in your hand or in your backpack, tote bag or briefcase. A 3-point clip mechanism gives the Dessin Cover in Noir for Nook Tablet a secure hold on your e-reader, so it remains firmly attached. Even while your e-reader is inside the Nook Color Cover, you retain easy access to all of your device's ports and controls.","{Electronics,eBook Readers & Accessories,Covers}",Barnes &amp; Noble
0743610431,Maptech ChartKit&reg; Book w/Companion CD - Florida East Coast &amp; The Keys,http://ecx.images-amazon.com/images/I/31AgCC9ZFqL.jpg,"CHARTKIT&reg; Bookw/ Companion CDFlorida East Coast and the KeysSt. Mary's Entrance to Dry Tortugas inside and outside including St. Johns River St. Lucie River and Lake Okeechobee. Full-color charts waypoints courses and distances chart datums for GPS Yeoman points and aerial photos. 22 X 17"" 78 chart pages.Product OverviewUsed by generations of boaters ChartKits are full-color reproductions of U.S. government and private charts spiral bound into popular cruising regions. The convenient-sized books are large enough to allow for manual plotting yet small enough to sit on your nav-station or lapGPS ReadyNew features make ChartKits easy to use with your GPS. Most charts include one-minute lat./long. Grids to make vessel positioning a breeze and major navigation aids are identified with named GPS waypoints.Small and Large Scale ChartsChartKits include small-scale wide area charts as well as large-scale detailed charts of harbors and approaches. The Chart Page Index (inside front cover) and ""Go-To"" page numbers make it simple to quickly find the chart you want.Pre-Plotted CoursesMaptech's navigation editors add magic courses between major navigation aids with distances in nautical miles. ChartKits are also designed to help you do the calculations yourself. Each page includes a Compass Rose with annual increase in variation and plete scale information.Aerial PhotosColor aerial photos of harbors and anchorages help you know what to expect before you get there.Companion CDIt's all here...digital charts and the software tools to use them. And the great thing is the digital charts are the same identical charts with GPS waypoints and course lines - just like in the Chartbooks.PlanChartbook Companion CDs include ""Offshore Navigator Lite"" navigation software. Click your mouse to put a waypoint on a chart. Click again and you're creating a route. It's that easy. Distances bearings and GPS positions are calculated and displayed instantly.PrintPrint your own customized GPS wa","{Electronics,Car & Vehicle Electronics,Car Electronics,Car Audio,Car Stereo Receivers}",MAPTECH PAPER CHARTS
0972683275,VideoSecu 24&quot; Long Arm TV Wall Mount Low Profile Full Motion Cantilever Swing &amp; Tilt wall bracket for most 22&quot; to 55&quot; LED LCD TV Monitor Flat Panel Screen VESA 200x200 400x400 up to 600x400mm - Articulating Arm Extend up to 24&quot; MAH,http://ecx.images-amazon.com/images/I/41hYJ9MwPSL._SX300_.jpg,"The VideoSecu TV mount is a mounting solution for most 22""-47"" LCD LED Plasma TV and some LED up to 55"". It fits VESA 600x400mm (24""x16""), 400x400mm (16""x16""), 400x200mm (16""x8""),300x300mm (12""x12""),200x200mm (8""x8""),200x100mm (8""x4"") mounting hole pattern on the back of your TV. Heavy gauge steel construction provides safety loading up to 66lbs display. The two-link arm design provides up to 180 degrees of swivel, 15 degrees tilt up or down, and 24"" extension, make it easier for get perfect viewing angle. The removable VESA plate can be taken off for easy installation. Post-installation level adjustment allows the TV to perfectly level. The on arm cable management ring system design, guides wires and prevent cable pinching. Standard hardware and user manual included. Note: From Nov 27, 600x400 adapters are provided with this product.","{Electronics,Accessories & Supplies,Audio & Video Accessories,TV Accessories & Parts,TV Ceiling & Wall Mounts}",VideoSecu
1034385789,Replacement lamp ELPLP36 for projector Epson EMP S4 Epson EMP S42 Epson PowerLite S4,http://ecx.images-amazon.com/images/I/41uuWrC-SpL._SX300_.jpg,New lamp for the following EPSON models: EMP-S4 EMP-S42 Lamp SpecificationsSpecDataProductCodeV13H010L36Part TypeLamp & HousingWarranty180 Days See Below For More Options!!Hours2000Watts170Lamp TypeUHE Bulb pictured may not represent description please ensure you are ordering the correct model. Do not hesitate to contact our sales staff if you have any questions toll free @ 800.941.5690,"{Electronics,Computers & Accessories,Cables & Accessories,Video Projector Accessories,Lamps}",Epson
